timestamp,cpu_util_percent,memory_used_mb,memory_total_mb,load_avg_1min
2026-02-20 20:40:43,10.2,24066,192093,4.12
2026-02-20 20:41:14,9.0,27960,192093,3.69
2026-02-20 20:41:45,9.4,30916,192093,3.49
2026-02-20 20:42:15,8.7,30947,192093,3.30
2026-02-20 20:42:46,8.4,30946,192093,3.18
2026-02-20 20:43:17,8.3,24859,192093,3.18
2026-02-20 20:43:47,5.6,25202,192093,2.89
2026-02-20 20:44:18,5.6,25221,192093,2.57
2026-02-20 20:44:49,5.7,25222,192093,2.34
2026-02-20 20:45:20,5.6,25244,192093,2.21
2026-02-20 20:45:50,5.6,25242,192093,2.12
2026-02-20 20:46:21,5.7,25245,192093,2.07
2026-02-20 20:46:52,5.6,25247,192093,2.11
2026-02-20 20:47:22,5.6,25274,192093,2.14
2026-02-20 20:47:53,5.7,25271,192093,2.08
2026-02-20 20:48:24,2.9,25053,192093,1.70
