timestamp,gpu_util_percent,memory_used_mb,memory_total_mb,temperature_c,power_draw_w
2026/02/20 20:40:44.043, 0, 1, 24576, 53, 36.72
2026/02/20 20:41:14.047, 0, 1, 24576, 52, 30.77
2026/02/20 20:41:44.048, 0, 4, 24576, 52, 30.47
2026/02/20 20:42:14.051, 0, 4, 24576, 53, 30.65
2026/02/20 20:42:44.053, 0, 4, 24576, 53, 30.81
2026/02/20 20:43:14.054, 0, 4, 24576, 53, 30.76
2026/02/20 20:43:44.054, 0, 4, 24576, 54, 30.66
2026/02/20 20:44:14.055, 0, 4, 24576, 54, 30.94
2026/02/20 20:44:44.056, 0, 4, 24576, 54, 31.09
2026/02/20 20:45:14.057, 0, 4, 24576, 55, 31.30
2026/02/20 20:45:44.058, 0, 4, 24576, 55, 31.34
2026/02/20 20:46:14.059, 0, 4, 24576, 55, 31.28
2026/02/20 20:46:44.060, 0, 4, 24576, 55, 31.60
2026/02/20 20:47:14.060, 0, 4, 24576, 55, 31.51
2026/02/20 20:47:44.061, 0, 4, 24576, 55, 31.36
2026/02/20 20:48:14.062, 0, 4, 24576, 55, 31.29
